iter	Logloss	Accuracy
501	0.4928607856	0.762256649
502	0.4928488529	0.7622794213
503	0.4928363891	0.7622748668
504	0.4928280471	0.7623500156
505	0.4928186814	0.7623295205
506	0.4927974349	0.7623272432
507	0.4927853962	0.7623591245
508	0.4927722361	0.7623818969
509	0.4927593512	0.7623317977
510	0.4927516675	0.7624001148
511	0.492743862	0.7623818969
512	0.4927367534	0.762402392
513	0.492732622	0.7623750652
514	0.4927231866	0.7623522928
515	0.4927119902	0.7623773424
516	0.492702973	0.7623750652
517	0.4926905415	0.762441105
518	0.4926809697	0.7624684318
519	0.492675165	0.7624228871
520	0.492660589	0.7624274416
521	0.4926536123	0.7624502139
522	0.492642296	0.7624616001
523	0.4926331384	0.7624661546
524	0.4926241293	0.7624729863
525	0.4926067603	0.7624547684
526	0.4925991732	0.7624684318
527	0.4925891782	0.7625116993
528	0.4925802363	0.7624889269
529	0.4925710836	0.7624912042
530	0.4925574111	0.762479818
531	0.4925477525	0.7624661546
532	0.4925401493	0.7624980359
533	0.4925287974	0.7625413034
534	0.4925173323	0.7625709074
535	0.4925083659	0.7626005115
536	0.4924992118	0.76263467
537	0.4924843984	0.7626369472
538	0.4924751975	0.7626415017
539	0.4924672815	0.7626551651
540	0.4924575787	0.7626460562
541	0.492446818	0.7626756602
542	0.4924351322	0.7626506106
543	0.4924240007	0.7626893236
544	0.4924119404	0.7626984326
545	0.4924047508	0.7627462545
546	0.4923958521	0.7627371456
547	0.4923869423	0.7627303139
548	0.4923763319	0.7627667496
549	0.492368624	0.7627439773
550	0.492349144	0.7627735813
551	0.492339708	0.7627826903
552	0.4923311616	0.7627621952
553	0.4923210851	0.7627872448
554	0.4923121378	0.7628168488
555	0.4923029731	0.7628236805
556	0.4922915766	0.7628464529
557	0.4922821627	0.7628327895
558	0.4922692862	0.7628487301
559	0.4922596347	0.7628646707
560	0.4922489398	0.7628737797
561	0.4922403674	0.7628760569
562	0.4922305355	0.7629147699
563	0.492224676	0.7629261561
564	0.4922080402	0.7628851659
565	0.4921970628	0.7629216016
566	0.4921815291	0.7629375423
567	0.4921715802	0.7629580374
568	0.4921630401	0.7629671463
569	0.4921551906	0.7629420967
570	0.4921437639	0.7629489284
571	0.492136056	0.7629853642
572	0.4921282703	0.7630013049
573	0.4921169938	0.7629717008
574	0.492105251	0.7629990276
575	0.4920927719	0.7630149683
576	0.4920799986	0.7630536813
577	0.4920685787	0.7630058593
578	0.4920608103	0.7630013049
579	0.4920507494	0.7630400179
580	0.4920405997	0.7630058593
581	0.4920317803	0.7630286317
582	0.4920144952	0.7630331861
583	0.4920063189	0.7630058593
584	0.4919945846	0.7629967504
585	0.4919861122	0.7629967504
586	0.4919753169	0.7630218
587	0.4919607053	0.7630286317
588	0.4919505873	0.7630286317
589	0.4919408704	0.7630354634
590	0.491930168	0.7630263544
591	0.4919214193	0.7630445723
592	0.4919107106	0.7630627902
593	0.4918973091	0.7630810081
594	0.4918869806	0.7630468496
595	0.4918718758	0.7630035821
596	0.4918649879	0.7630468496
597	0.4918553411	0.7630536813
598	0.491846449	0.763060513
599	0.4918358865	0.7630377406
600	0.4918263051	0.7630832853
601	0.4918155518	0.7631037804
602	0.4918074621	0.7630878398
603	0.4917955226	0.7630582357
604	0.4917852662	0.763051404
605	0.4917760836	0.7630309089
606	0.491766535	0.7630741764
607	0.4917595798	0.7630536813
608	0.4917495501	0.7630810081
609	0.491740512	0.7631197211
610	0.4917258079	0.7631333845
611	0.4917208775	0.7631242756
612	0.4917137305	0.7631015032
613	0.4917032044	0.7631151666
614	0.4916913032	0.7631151666
615	0.4916813708	0.7630787309
616	0.4916741093	0.7630946715
617	0.4916641099	0.7631174438
618	0.4916538148	0.7631242756
619	0.4916454747	0.7631265528
620	0.4916365001	0.7631333845
621	0.4916290767	0.7631356617
622	0.4916187862	0.7631629886
623	0.4916125054	0.7632017016
624	0.4916071684	0.7632130877
625	0.4916003799	0.7631948698
626	0.4915924864	0.7632176422
627	0.4915825472	0.7631925926
628	0.4915740574	0.7631925926
629	0.4915657451	0.7631971471
630	0.4915590726	0.7631652658
631	0.4915506253	0.7632290284
632	0.4915405573	0.7632290284
633	0.491531953	0.7632108105
634	0.4915230183	0.7632631869
635	0.4915151864	0.7631652658
636	0.4915059006	0.7631311073
637	0.4914977065	0.763137939
638	0.4914879867	0.7632722958
639	0.491474601	0.7632609097
640	0.4914620332	0.7632631869
641	0.4914553323	0.7632495235
